Location,Source,Problem,Type,Entrypoint,Validated
https://gist.github.com/mcthfg/641f346b967404c10132ede09a8708af,"def sort(array):
    for i in range(len(array)):
        for y in range(1, len(array)):
            if array[y - 1] > array[y]:
                pom = array[y - 1]
                array[y - 1] = array[y]
                array[y] = pom

    return(array)",1,1,sort,1
https://gist.github.com/Ojaswy/9b249c30537640226e2e51a50d6ca8c4,"def bubbleSort(arr):
    n = len(arr)
 
    # Traverse through all array elements
    for i in range(n):
 
        # Last i elements are already in place
        for j in range(0, n-i-1):
 
            # traverse the array from 0 to n-i-1
            # Swap if the element found is greater
            # than the next element
            if arr[j] > arr[j+1] :
                arr[j], arr[j+1] = arr[j+1], arr[j]

    return(arr)",1,1,bubbleSort,1
https://gist.github.com/dougles/91a529b186dff44e0ee524d7a6c877fd,"def bubble_sort(arr):
    n = len(arr)
    for i in range(n-1):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return(arr)",1,1,bubble_sort,1
https://gist.github.com/sonulen/6a45451c8fdebd4882ae0465ce4f00ea,"def bubble_sort(lst):
    for passnum in range(len(lst) - 1, 0, -1):
        for i in range(passnum):
            if lst[i] > lst[i + 1]:
                temp = lst[i]
                lst[i] = lst[i + 1]
                lst[i + 1] = temp
    return(lst)",1,1,bubble_sort,1
https://gist.github.com/Ryan-Fortner/016c8eec1f394fe68280e3efe71ca72a,"def bubbleSort(arr):
    count=0
    for j in range(len(arr)-1):
        print(""\n\n"", ""-""*50, ""Iteration"", j)
        for i in range(len(arr)-1-j):
            count += 1
            print(""\n"",""*""*80,""\ncomparing"", arr[i], arr[i+1])
            if arr[i] > arr[i+1]:
                arr[i], arr[i+1] = arr[i+1], arr[i]
                print(""swapped"", arr[i], arr[i+1])
                print(""array is now"", arr)
            else:
                print(""no need to swap"", arr[i], arr[i+1])
    print(""Number of evaluations ="", count)
    return arr",1,1,bubbleSort,1
https://gist.github.com/ngomajeff/a3126a5965884d3ff896f44a0c614e8b,"def bubble_sort(liste):
    for i in range(len(liste) - 1, 0, -1):
        for j in range(i):
            current_value = liste[j]
            next_value = liste[j + 1]
            if current_value > next_value:
                liste[j] = next_value
                liste[j + 1] = current_value
    return liste",1,1,bubble_sort,1
https://gist.github.com/RafayelGardishyan/0fbf1fb99e5b1a25571317d4a434c8a3,"def bubble_sort(array):
  for i in range(len(array)):
    for j in range(len(array) - 1):
      if array[j] > array[j + 1]:
        array[j], array[j + 1] = array[j + 1], array[j]
  return array",1,1,bubble_sort,1
https://gist.github.com/wanguiwaweru/c6042800e9c769bd0b6b533d5ba9b980,"def bubbleSort(arr):

    for i in range(len(arr)):

        #compare every two items in the array
        for j in range(len(arr)-1):
            if arr[j] > arr[j+1]:
                arr[j],arr[j+1] = arr[j+1],arr[j]
    return arr",1,1,bubbleSort,1
https://gist.github.com/jennifer-l-k/23b53a0259912df438fef09c528f927d,"def bubblesort(array):
    n = len(array)
    while 1:
        changed = False
        for i in range(n-1):
            if array[i] > array[i+1]:
                array[i],array[i+1] = array[i+1],array[i]
                changed = True
        n -= 1
        if not (changed):
            print(array)
            return(array)",1,1,bubblesort,1
https://gist.github.com/naga1/883ba6b163a89314ff7ff8139d8742d7,"def bubble_sort(A):

    for i in range(len(A)-1, 0, -1):
        for j in range(i):
            if A[j] > A[j+1]:
                A[j+1],  A[j] = A[j], A[j+1]
    return A",1,1,bubble_sort,1
https://gist.github.com/vividhsv/e75eaeac2b94572db7fb22fc2cd5e109,"def bubble_sort(arr):
    is_sorted = False
    while not is_sorted:
        is_sorted = True
        for i in range(0, len(arr) -1):
            if arr[i] > arr[i+1]:
                is_sorted = False
                arr[i], arr[i+1] = arr[i+1], arr[i]
    return arr",1,1,bubble_sort,1
https://gist.github.com/jonese1234/b6635b22e79be4e9fc15101d9819fe0e,"def bubbleSort(alist):
    for passnum in range(len(alist)-1,0,-1):
        for i in range(passnum):
            if alist[i]>alist[i+1]:
                temp = alist[i]
                alist[i] = alist[i+1]
                alist[i+1] = temp
    return(alist)",1,1,bubbleSort,1
https://gist.github.com/realrealkoc/dbb646e205b799750b887597c7b0d929,"def sort(array):

    n = len(array)

    for i in range(0, n - 1):
        for j in range(i+1, n):
            if (array[j] < array[i]):
                tmp = array[i]
                array[i] = array[j]
                array[j] = tmp
    return(array)",1,1,sort,1
https://gist.github.com/korniichuk/4a9d70641cc173d57e2e8cbf463d8c25,"def func(data):
    length = len(data)
    flag = True
    while flag:
        flag = False
        for i in range(length - 1):
            if data[i] > data[i+1]:
                data[i], data[i+1] = data[i+1], data[i]
                flag = True
    return(data)",1,1,func,1
https://gist.github.com/HeerKukreja/5c92c4e3aaec57a7102e17981e5007ac,"def bubble_sort(array):
    for i in range(len(array)-1):
        for j in range(len(array)-i-1):
            if array[j]>array[j+1]:
                array[j], array[j+1] = array[j+1], array[j]
    return array",1,1,bubble_sort,1
https://gist.github.com/emre/6151887,"def bubble_sort(unsorted_list):
    """"""
    bonus: http://www.youtube.com/watch?v=u_tKnsG0rVs
    
    >>> unsorted_list = [2, 1, 9, 8, 89]
    >>> bubble_sort(unsorted_list)
    >>> unsorted_list
    [1, 2, 8, 9, 89]
    """"""

    end = len(unsorted_list) - 1

    while end != 0:

        for i in range(end):
            if unsorted_list[i] > unsorted_list[i + 1]:
                unsorted_list[i + 1], unsorted_list[i] = unsorted_list[i], unsorted_list[i + 1]
        end -= 1

    return(unsorted_list)",1,1,bubble_sort,1
https://gist.github.com/delvacode/b3e3b7d973d98db34949,"def bubbleSort(alist):
    n = len(alist)
    for i in range(n, 1, -1):
        for j in range(i-1):
            if alist[j] > alist[j+1] :
                alist[j],alist[j+1] = alist[j+1],alist[j]
    return(alist)",1,1,bubbleSort,1
https://gist.github.com/gahenton/92877939b8b3302b76c587bac9b056b0,"def bubble_sort(arr):
  print(""The unsorted array: "" + str(arr))
  swapped = True
  while swapped:
    swapped = False
    for i in range(len(arr)-1):
      if (arr[i] > arr[i+1]):
        arr[i], arr[i+1] = arr[i+1], arr[i]
        print(""Swapped: {} with {}"".format(arr[i+1], arr[i]))
        print(arr)
        swapped = True
  return arr",1,1,bubble_sort,1
https://gist.github.com/ctrl-alt-dtl/40e5076e417b3b5ec83bcd6f4992c2af,"def bubble_sort(list):
    unsorted_until_index = len(list)-1
    sorted = False
    
    while not sorted:
        sorted = True
        for i in range(unsorted_until_index):
            if list[i] > list[i+1]:
                list[i], list[i+1] = list[i+1], list[i]
                sorted = False
                print(list)
        unsorted_until_index -= 1
    return list",1,1,bubble_sort,1
https://gist.github.com/zhanglintc/e51bd89f9fe6fc507982f59f1d693ea8,"def bubble(a):
    for i in range(len(a)):
        for j in range(len(a) - i - 1):
            if a[j] > a[j + 1]:
                a[j], a[j + 1] = a[j + 1], a[j]
    return(a)",1,1,bubble,1
https://gist.github.com/gimoonnam/12ec9b64cf97ec316a3252d4718662a2,"def sorting_bubble(nums):
    N = len(nums)
    for i in range(N-1):
        for j in range(i+1,N): 
            if nums[i] > nums[j]: 
                nums[i], nums[j] = nums[j], nums[i]
    return(nums)",1,1,sorting_bubble,1
https://gist.github.com/KennyOliver/5c90362267de9ff1b42b5dc022c5a48e,"def bubble_sort(data: list) -> list:
    sorted = False

    while not sorted:
        sorted = True
        for i in range(len(data) - 1):
            if data[i] > data[i+1]:  # switch to < for descending sort
                data[i], data[i+1] = data[i+1], data[i]
                sorted = False

    return data",1,1,bubble_sort,1
